family;domain;pred;prob_dga;detected
gen2k26ver1;cherokee-whatever-player.net;1;0.999979;True
gen2k26ver1;agant-wishing-shots.com;1;0.999978;True
gen2k26ver1;issn-cavendi-midwest.ai;0;0.000109;False
gen2k26ver1;rainbow-four-magistro.net;1;0.999959;True
gen2k26ver1;zshops-mentem-using.inter;1;0.999979;True
gen2k26ver1;mystery-wave-podcasts.ai;0;0.000025;False
gen2k26ver1;stamp-deal-somewhat.ai;1;0.999978;True
gen2k26ver1;wind-though-hobbies.ai;1;0.999979;True
gen2k26ver1;plains-fotos-interact.inter;1;0.986468;True
gen2k26ver1;fitted-mystery-tribes.inter;1;0.999955;True
gen2k26ver1;groove-fallen-complex.com;1;0.999979;True
gen2k26ver1;layout-volvo-airport.inter;1;0.999512;True
gen2k26ver1;highs-rehab-gasoline.ai;1;0.528579;True
gen2k26ver1;business-grain-lyric.inter;1;0.999977;True
gen2k26ver1;univ-headers-gratis.ai;0;0.017045;False
gen2k26ver1;handed-feet-ness.inter;1;0.999979;True
gen2k26ver1;hats-touched-dose.net;1;0.999979;True
gen2k26ver1;cottages-dietary-erectam.net;1;0.999979;True
gen2k26ver1;broad-costa-designed.org;1;0.999976;True
gen2k26ver1;loop-remember-wires.com;1;0.999979;True
gen2k26ver1;regard-handbook-truck.com;1;0.999979;True
gen2k26ver1;five-package-boat.net;1;0.999979;True
gen2k26ver1;wanna-evaluate-retained.inter;1;0.999979;True
gen2k26ver1;joel-hometown-studeant.inter;1;0.999869;True
gen2k26ver1;smoke-tale-beyond.org;1;0.999979;True
gen2k26ver1;geneva-centies-evident.org;1;0.975202;True
gen2k26ver1;issn-surface-waste.ai;1;0.506103;True
gen2k26ver1;tracy-apple-equity.ai;0;0.000174;False
gen2k26ver1;funky-tent-trauma.org;1;0.999520;True
gen2k26ver1;adopted-serve-recorder.net;1;0.999979;True
gen2k26ver1;ship-rice-gray.org;1;0.999979;True
gen2k26ver1;lyrics-sally-coupon.net;1;0.999979;True
gen2k26ver1;museum-owen-winston.org;0;0.000088;False
gen2k26ver1;green-topic-greene.net;1;0.999979;True
gen2k26ver1;tissue-turns-impress.net;1;0.999979;True
gen2k26ver1;playlist-nfoulilp-harmonie.org;0;0.000883;False
gen2k26ver1;even-daddy-remissio.org;0;0.002935;False
gen2k26ver1;phantom-highway-anxiety.ai;0;0.000028;False
gen2k26ver1;animas-deer-wants.com;1;0.999952;True
gen2k26ver1;energy-history-overhead.ai;1;0.999962;True
gen2k26ver1;spas-former-standard.net;1;0.999979;True
gen2k26ver1;grid-invite-publicly.ai;1;0.999972;True
gen2k26ver1;tray-mill-fruit.org;1;0.999979;True
gen2k26ver1;elegant-keep-destroy.ai;1;0.999979;True
gen2k26ver1;referral-fitness-hottest.net;0;0.000249;False
gen2k26ver1;weiler-whats-organize.ai;0;0.012241;False
gen2k26ver1;dolls-north-projects.net;0;0.003273;False
gen2k26ver1;void-melior-daily.org;1;0.999974;True
gen2k26ver1;russian-milan-within.ai;0;0.000055;False
gen2k26ver1;disclose-handled-both.org;1;0.999979;True
gen2k26ver1;oakland-luther-launches.org;0;0.055618;False
gen2k26ver1;polo-carry-nudity.inter;1;0.999977;True
gen2k26ver1;covered-weighted-spread.ai;1;0.999979;True
gen2k26ver1;mitchell-nike-observed.net;1;0.999979;True
gen2k26ver1;meant-cheyanne-omnes.org;1;0.999976;True
gen2k26ver1;direct-motorola-casus.ai;0;0.000036;False
gen2k26ver1;dutch-fruits-observed.ai;1;0.960952;True
gen2k26ver1;likr-thee-dicitur.org;1;0.998901;True
gen2k26ver1;tions-nude-vicario.org;0;0.000213;False
gen2k26ver1;wrist-needle-emotion.net;1;0.999979;True
gen2k26ver1;mount-glen-evans.org;1;0.999821;True
gen2k26ver1;orlando-strategy-wake.org;1;0.533230;True
gen2k26ver1;party-rating-symbol.ai;1;0.999245;True
gen2k26ver1;stupid-seeker-filename.inter;1;0.999979;True
gen2k26ver1;consult-fairly-liberior.net;1;0.999978;True
gen2k26ver1;partner-fisting-idaho.net;0;0.005957;False
gen2k26ver1;powerful-kurt-failure.net;1;0.999979;True
gen2k26ver1;express-hampton-quest.net;1;0.999183;True
gen2k26ver1;gmbh-package-gerald.net;1;0.982557;True
gen2k26ver1;centum-fulminat-mass.ai;0;0.000062;False
gen2k26ver1;katheryn-libera-ranges.com;1;0.999596;True
gen2k26ver1;depot-toll-inde.ai;0;0.000085;False
gen2k26ver1;roster-tasks-sure.inter;1;0.999979;True
gen2k26ver1;records-corner-monitor.ai;1;0.999979;True
gen2k26ver1;monsters-pipe-virorum.net;1;0.999979;True
gen2k26ver1;mild-slim-gamecube.ai;0;0.000985;False
gen2k26ver1;tamil-prisoner-scan.org;0;0.069289;False
gen2k26ver1;genius-voip-animas.ai;0;0.000213;False
gen2k26ver1;guns-qualify-istum.inter;1;0.999976;True
gen2k26ver1;abroad-plumbing-equale.com;0;0.000636;False
gen2k26ver1;operibus-sims-weights.com;1;0.999979;True
gen2k26ver1;million-tons-hammer.net;1;0.999979;True
gen2k26ver1;failures-iana-reducing.net;1;0.990732;True
gen2k26ver1;illas-displays-interact.ai;0;0.000035;False
gen2k26ver1;fixtures-lasting-upgrade.inter;1;0.999979;True
gen2k26ver1;species-hardwood-quanto.inter;1;0.999755;True
gen2k26ver1;mayor-reliance-overseas.com;0;0.000147;False
gen2k26ver1;reddent-piano-urge.org;1;0.999402;True
gen2k26ver1;jokes-sheer-iowa.ai;1;0.999979;True
gen2k26ver1;missouri-valeant-harry.com;1;0.999596;True
gen2k26ver1;machine-premium-means.com;1;0.999979;True
gen2k26ver1;came-edges-zone.ai;1;0.978052;True
gen2k26ver1;rainbow-kodak-gender.com;1;0.884039;True
gen2k26ver1;size-panic-toilet.com;1;0.999979;True
gen2k26ver1;redhead-aside-pillow.com;1;0.999979;True
gen2k26ver1;suits-sandy-salon.ai;1;0.999975;True
gen2k26ver1;sheenagh-relating-lone.ai;1;0.999979;True
gen2k26ver1;turned-pleased-edmonton.inter;1;0.999979;True
gen2k26ver1;lebanon-thong-even.net;1;0.999979;True
gen2k26ver1;delhi-about-formed.net;1;0.999787;True
gen2k26ver1;posset-everyone-towel.org;1;0.999821;True
gen2k26ver1;vintage-illas-easily.net;1;0.999979;True
gen2k26ver1;vector-listen-involve.net;1;0.999979;True
gen2k26ver1;lycos-geneva-crucial.com;0;0.000127;False
gen2k26ver1;fusion-harold-signing.inter;1;0.999979;True
gen2k26ver1;scanner-speeches-wright.inter;1;0.999979;True
gen2k26ver1;webpage-glenn-states.com;0;0.000363;False
gen2k26ver1;olympic-modes-affero.com;0;0.000044;False
gen2k26ver1;setup-obtained-metro.org;1;0.999979;True
gen2k26ver1;skiing-scoring-seen.org;1;0.999979;True
gen2k26ver1;reader-fires-strong.com;1;0.999979;True
gen2k26ver1;diana-shepherd-meets.net;1;0.999957;True
gen2k26ver1;familiar-missile-mapping.org;1;0.996972;True
gen2k26ver1;walt-merging-organic.com;1;0.999979;True
